naca,alpha,reynolds,log_re,mach,tc_ratio,camber,cl,cd,cl_sq,re_mach
0009,-12.0,100000.0,5.0,0.05,0.09,0.0,-0.8,0.112473,0.64,0.005
0009,-11.5,100000.0,5.0,0.05,0.09,0.0,-0.8,0.092025,0.64,0.005
0009,-11.0,100000.0,5.0,0.05,0.09,0.0,-0.8,0.069004,0.64,0.005
0009,-10.5,100000.0,5.0,0.05,0.09,0.0,-0.8,0.054557,0.64,0.005
0009,-10.0,100000.0,5.0,0.05,0.09,0.0,-0.8,0.047283,0.64,0.005
0009,-9.5,100000.0,5.0,0.05,0.09,0.0,-0.8,0.045419,0.64,0.005
0009,-9.0,100000.0,5.0,0.05,0.09,0.0,-0.8,0.046094,0.64,0.005
0009,-8.5,100000.0,5.0,0.05,0.09,0.0,-0.8,0.045384,0.64,0.005
0009,-8.0,100000.0,5.0,0.05,0.09,0.0,-0.8,0.044506,0.64,0.005
0009,-7.5,100000.0,5.0,0.05,0.09,0.0,-0.8,0.045173,0.64,0.005
0009,-7.0,100000.0,5.0,0.05,0.09,0.0,-0.76764,0.042135,0.589271,0.005
0009,-6.5,100000.0,5.0,0.05,0.09,0.0,-0.7128,0.038359,0.508084,0.005
0009,-6.0,100000.0,5.0,0.05,0.09,0.0,-0.65797,0.035237,0.432925,0.005
0009,-5.5,100000.0,5.0,0.05,0.09,0.0,-0.60314,0.030958,0.363778,0.005
0009,-5.0,100000.0,5.0,0.05,0.09,0.0,-0.54831,0.028169,0.300644,0.005
0009,-4.5,100000.0,5.0,0.05,0.09,0.0,-0.49348,0.026022,0.243523,0.005
0009,-4.0,100000.0,5.0,0.05,0.09,0.0,-0.43865,0.023489,0.192414,0.005
0009,-3.5,100000.0,5.0,0.05,0.09,0.0,-0.38382,0.021843,0.147318,0.005
0009,-3.0,100000.0,5.0,0.05,0.09,0.0,-0.32899,0.019639,0.108234,0.005
0009,-2.5,100000.0,5.0,0.05,0.09,0.0,-0.27416,0.017974,0.075164,0.005
0009,-2.0,100000.0,5.0,0.05,0.09,0.0,-0.21932,0.017472,0.048101,0.005
0009,-1.5,100000.0,5.0,0.05,0.09,0.0,-0.16449,0.016056,0.027057,0.005
0009,-1.0,100000.0,5.0,0.05,0.09,0.0,-0.10966,0.015423,0.012025,0.005
0009,-0.5,100000.0,5.0,0.05,0.09,0.0,-0.05483,0.014665,0.003006,0.005
0009,0.0,100000.0,5.0,0.05,0.09,0.0,0.0,0.014723,0.0,0.005
0009,0.5,100000.0,5.0,0.05,0.09,0.0,0.05483,0.01501,0.003006,0.005
0009,1.0,100000.0,5.0,0.05,0.09,0.0,0.10966,0.015141,0.012025,0.005
0009,1.5,100000.0,5.0,0.05,0.09,0.0,0.16449,0.016202,0.027057,0.005
0009,2.0,100000.0,5.0,0.05,0.09,0.0,0.21932,0.016942,0.048101,0.005
0009,2.5,100000.0,5.0,0.05,0.09,0.0,0.27416,0.018282,0.075164,0.005
0009,3.0,100000.0,5.0,0.05,0.09,0.0,0.32899,0.019731,0.108234,0.005
0009,3.5,100000.0,5.0,0.05,0.09,0.0,0.38382,0.022344,0.147318,0.005
0009,4.0,100000.0,5.0,0.05,0.09,0.0,0.43865,0.023846,0.192414,0.005
0009,4.5,100000.0,5.0,0.05,0.09,0.0,0.49348,0.025827,0.243523,0.005
0009,5.0,100000.0,5.0,0.05,0.09,0.0,0.54831,0.029274,0.300644,0.005
0009,5.5,100000.0,5.0,0.05,0.09,0.0,0.60314,0.031289,0.363778,0.005
0009,6.0,100000.0,5.0,0.05,0.09,0.0,0.65797,0.03522,0.432925,0.005
0009,6.5,100000.0,5.0,0.05,0.09,0.0,0.7128,0.037493,0.508084,0.005
0009,7.0,100000.0,5.0,0.05,0.09,0.0,0.76764,0.041583,0.589271,0.005
0009,7.5,100000.0,5.0,0.05,0.09,0.0,0.82247,0.046647,0.676457,0.005
0009,8.0,100000.0,5.0,0.05,0.09,0.0,0.8773,0.051435,0.769655,0.005
0009,8.5,100000.0,5.0,0.05,0.09,0.0,0.93213,0.055659,0.868866,0.005
0009,9.0,100000.0,5.0,0.05,0.09,0.0,0.98696,0.060337,0.97409,0.005
0009,9.5,100000.0,5.0,0.05,0.09,0.0,1.04179,0.065352,1.085326,0.005
0009,10.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.064499,1.092025,0.005
0009,10.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.06525,1.092025,0.005
